          dates,Median: Non-structural shadow-rate VAR (ex Yields),5%: Non-structural shadow-rate VAR (ex Yields),95%: Non-structural shadow-rate VAR (ex Yields),Median: General shadow-rate VAR (ex Yields),5%: General shadow-rate VAR (ex Yields),95%: General shadow-rate VAR (ex Yields),Median: Non-structural shadow-rate VAR (w/restrictions) (w/Yields),5%: Non-structural shadow-rate VAR (w/restrictions) (w/Yields),95%: Non-structural shadow-rate VAR (w/restrictions) (w/Yields)
        2010-01,       -2.3883950281748905e+00,       -3.9993337693854070e+00,       -9.6345391451498819e-01,       -3.8356640440450956e-01,       -1.1133496836136820e+00,        1.2402043324875950e-01,       -7.1039957841180346e-01,       -1.4240538562885572e+00,       -9.7775750178577314e-02
        2010-02,       -2.6181731595643445e+00,       -4.1297374039928298e+00,       -1.2844511487526475e+00,       -4.5117023350347962e-01,       -1.1697423498614765e+00,        9.0306892906933917e-02,       -7.1459211109643805e-01,       -1.4285886534467824e+00,       -1.0594056292850063e-01
        2010-03,       -2.5606730048526058e+00,       -4.1289338369668531e+00,       -1.3177005774268813e+00,       -4.8039536138776462e-01,       -1.1908495900164435e+00,        8.2389779647909556e-02,       -7.6477509477571382e-01,       -1.4337778427343204e+00,       -1.1804280942827031e-01
        2010-04,       -2.3977601426885373e+00,       -3.9822876718388254e+00,       -1.1434272156250285e+00,       -4.5986005655613188e-01,       -1.1605608553076032e+00,        6.5521849775235647e-02,       -8.5552715610116148e-01,       -1.5007579641983968e+00,       -2.3017775698237508e-01
        2010-05,       -2.1584113637795985e+00,       -3.7751585787140955e+00,       -8.2824479001676887e-01,       -3.3069867065209679e-01,       -9.5369763852190381e-01,        1.3704385012821618e-01,       -8.7646696726111784e-01,       -1.5668487517555567e+00,       -2.1661385007279788e-01
        2010-06,       -2.1736281583484169e+00,       -3.6969035764408797e+00,       -9.2906837577702639e-01,       -1.9717770352826933e-01,       -8.7091532329959054e-01,        1.9751265747805696e-01,       -8.3863050887641555e-01,       -1.5395367585897448e+00,       -2.1818171265815556e-01
        2010-07,       -2.2546794226732172e+00,       -3.8249998537611218e+00,       -1.0695595912398947e+00,       -2.6767855315738365e-01,       -9.8720633023668314e-01,        1.6065229182660187e-01,       -8.6620153597309368e-01,       -1.5598249638530186e+00,       -2.3011375847610760e-01
        2010-08,       -2.4197539839673659e+00,       -4.0107142051997933e+00,       -1.2453634448236546e+00,       -4.1876631623902943e-01,       -1.0506374035308506e+00,        5.4501293894860040e-02,       -8.6240909503421015e-01,       -1.5307929309390698e+00,       -1.8831530157725504e-01
        2010-09,       -2.7523704795422912e+00,       -4.2035821467566326e+00,       -1.5077594321244190e+00,       -4.9340843890723085e-01,       -1.0908065610192801e+00,        2.2275943258891352e-02,       -7.7393390628591563e-01,       -1.4461637178875364e+00,       -8.9849211847707375e-02
        2010-10,       -2.7742371623677720e+00,       -4.0847372524119017e+00,       -1.5283774032504507e+00,       -4.3873793085041846e-01,       -1.0532634990288359e+00,        6.1663157211364117e-02,       -7.7890145529131494e-01,       -1.4826824823251021e+00,       -1.5405664201608560e-01
        2010-11,       -2.7088583679975753e+00,       -4.0188174575601616e+00,       -1.4468537632680949e+00,       -4.6770986738302989e-01,       -1.1118166831139469e+00,        6.4732243050373783e-02,       -9.3776596521785605e-01,       -1.6291659798949694e+00,       -2.6376764410024534e-01
        2010-12,       -2.5823148624535333e+00,       -3.9164328775685679e+00,       -1.3333135091072899e+00,       -4.7858831030752452e-01,       -1.1284140418307036e+00,        2.9071806829636795e-02,       -9.4355707282713475e-01,       -1.6689602206362970e+00,       -2.6933870836492402e-01
        2011-01,       -2.4957020461919401e+00,       -3.8570753821773569e+00,       -1.2644060157017134e+00,       -4.3940760268208723e-01,       -1.0648473502606397e+00,        6.9193717031138580e-02,       -8.4960494743763926e-01,       -1.5771001703470766e+00,       -1.6780805378372549e-01
        2011-02,       -2.1911646278416126e+00,       -3.5499213838112773e+00,       -1.0040773287553542e+00,       -3.9831647137018877e-01,       -1.0034369707647932e+00,        5.8969379706193328e-02,       -9.1397091845886247e-01,       -1.6105316354065757e+00,       -2.8508879153617750e-01
        2011-03,       -1.9038302232566906e+00,       -3.2074873298489641e+00,       -7.9382972100202753e-01,       -2.5457616260967902e-01,       -8.2000695188854267e-01,        1.5026505211263574e-01,       -8.3023975456649235e-01,       -1.5710443042514644e+00,       -1.6718295704471581e-01
        2011-04,       -1.7128175162101891e+00,       -3.0534168728555167e+00,       -6.2129887377086934e-01,       -2.5116395219400189e-01,       -7.8389355917009906e-01,        1.5782335619135784e-01,       -9.6753375918268769e-01,       -1.6973159660965749e+00,       -2.6989544925532888e-01
        2011-05,       -1.5907219725507222e+00,       -2.8824468522079805e+00,       -5.2464491250216372e-01,       -2.7179147205480320e-01,       -7.6210719185963560e-01,        1.1513245580736864e-01,       -1.1393566027348792e+00,       -1.9225674519762994e+00,       -4.3575866354570270e-01
        2011-06,       -1.4775182247557264e+00,       -2.7318746573924999e+00,       -4.2755793413438992e-01,       -2.6024215410337548e-01,       -7.7391997708849214e-01,        1.2170183710047389e-01,       -1.3359540939769916e+00,       -2.2285228063741207e+00,       -6.1779897215588053e-01
        2011-07,       -1.1892109065710408e+00,       -2.4502329628377728e+00,       -1.6942671601350073e-01,       -2.3286075692582847e-01,       -7.4684225860333986e-01,        1.5859384699689788e-01,       -1.5537826324392219e+00,       -2.4120697145065124e+00,       -8.0215588018052186e-01
        2011-08,       -1.2819552583295259e+00,       -2.5223018584325687e+00,       -2.7013892084902286e-01,       -2.9285288272759580e-01,       -8.0050886398531795e-01,        1.5491306646237965e-01,       -1.8189341098161451e+00,       -2.9086119638715191e+00,       -1.0003669543554530e+00
        2011-09,       -1.2711613430868098e+00,       -2.4881963465088264e+00,       -3.8472886093224357e-01,       -3.2356836571186870e-01,       -8.6120185364881841e-01,        9.9043358337402132e-02,       -2.0053309554911740e+00,       -3.1504204432685810e+00,       -1.1454875156455748e+00
        2011-10,       -1.1366035881137462e+00,       -2.2403143132217327e+00,       -2.7705560097163096e-01,       -2.9993111506414666e-01,       -8.3235422824244387e-01,        1.3536568795794862e-01,       -2.1227476732121753e+00,       -3.2438638604636161e+00,       -1.2379654391215735e+00
        2011-11,       -1.2019102026833663e+00,       -2.2463248907192099e+00,       -4.2066024427043125e-01,       -3.4533811779241652e-01,       -8.5427407892123708e-01,        8.6216852417108414e-02,       -2.2099434873326738e+00,       -3.4128850818939682e+00,       -1.2561175328129419e+00
        2011-12,       -1.1957764533532993e+00,       -2.2553297616895320e+00,       -4.2815722762444414e-01,       -3.5268742485513538e-01,       -8.3955418500702383e-01,        7.4546132253192190e-02,       -2.2660917810097816e+00,       -3.4132802516469978e+00,       -1.2895359478635307e+00
        2012-01,       -9.8306877460211217e-01,       -1.9802848499729544e+00,       -1.6708486956190632e-01,       -2.2326880928291282e-01,       -6.9328423111260862e-01,        1.3196207674272370e-01,       -2.1633039315759950e+00,       -3.3129440413764457e+00,       -1.1939462125749856e+00
        2012-02,       -8.0614868683302188e-01,       -1.7483164339455697e+00,       -5.8053734674785945e-02,       -1.4981559855416676e-01,       -5.8480297582500274e-01,        1.8169149680363769e-01,       -2.2021098940063020e+00,       -3.2925796023031850e+00,       -1.1673680772602790e+00
        2012-03,       -5.9344679028504232e-01,       -1.4914611104343882e+00,        1.6469462946821389e-02,       -8.3281270935897211e-02,       -5.3799542146702317e-01,        2.0941927785133296e-01,       -2.1792410392093684e+00,       -3.2578381576114857e+00,       -1.1472361377155464e+00
        2012-04,       -3.9495304759165345e-01,       -1.3246892963039161e+00,        1.5098657443984506e-01,       -3.4838897478934011e-02,       -4.4510934698468663e-01,        2.1000002276532226e-01,       -2.1045828697012356e+00,       -3.1773216478984150e+00,       -1.0728931930594410e+00
        2012-05,       -4.6206238620232598e-01,       -1.3331877061214825e+00,        1.0842208104850380e-01,       -4.9322652574787275e-02,       -4.8085765340234343e-01,        2.0711110702932539e-01,       -2.0017228597645476e+00,       -3.1150554193371622e+00,       -9.6786347010731966e-01
        2012-06,       -6.1600654097850227e-01,       -1.3891947621287726e+00,       -1.8988400698132714e-02,       -1.1984490879628812e-01,       -5.9119251639030912e-01,        1.7855036019850856e-01,       -1.9574511818602618e+00,       -3.0067899315284219e+00,       -8.9997183956628235e-01
        2012-07,       -7.0487949669088779e-01,       -1.4981142339808720e+00,       -1.1446605953974499e-01,       -1.5636408167177074e-01,       -6.0396482276046060e-01,        1.5019324903131137e-01,       -1.9165182465360571e+00,       -2.9360686775499949e+00,       -8.9988041038960653e-01
        2012-08,       -8.7138059537102841e-01,       -1.7184757215123261e+00,       -2.5189914008713449e-01,       -2.8282232726248779e-01,       -7.5826052316557968e-01,        8.2405383009566568e-02,       -1.9837520566797844e+00,       -3.0255171076951752e+00,       -9.9349518190734898e-01
        2012-09,       -8.8409357560111457e-01,       -1.6771287450820724e+00,       -2.3891121570000556e-01,       -3.4704287941295120e-01,       -7.7663007050169375e-01,        7.2931772002367209e-02,       -2.1171919423367336e+00,       -3.1932512681704313e+00,       -1.1376816087058490e+00
        2012-10,       -8.4004276757331764e-01,       -1.5730710545414222e+00,       -2.3513289836837228e-01,       -2.9611154723695743e-01,       -7.6636407288615116e-01,        8.9886882737923168e-02,       -2.1574456662600596e+00,       -3.2124557557880928e+00,       -1.2281557471025830e+00
        2012-11,       -7.7476729436946390e-01,       -1.5309601738049838e+00,       -1.6761718620805194e-01,       -2.0420405262640190e-01,       -6.4665865269785183e-01,        1.6137060261461622e-01,       -2.0998468591656581e+00,       -3.1384869720513411e+00,       -1.2018181793607003e+00
        2012-12,       -6.8522834259397325e-01,       -1.4153245370307022e+00,       -3.6380412594187825e-02,       -1.3078062858951572e-01,       -5.3341325983815069e-01,        1.8379199548797051e-01,       -2.0447091589485198e+00,       -3.1081494510865708e+00,       -1.1386966334355111e+00
        2013-01,       -6.1282431726389697e-01,       -1.3694860601100034e+00,       -3.2486130697991597e-02,       -1.1019434197580667e-01,       -5.0170233823310961e-01,        1.7290347100607975e-01,       -2.0764551061542074e+00,       -3.1683977184017884e+00,       -1.1476882192601205e+00
