dates,RPI,DPCERA3M086SBEA,INDPRO,CUMFNS,UNRATE,PAYEMS,CES0600000007,CES0600000008,WPSFD49207,PPICMM,PCEPI,WUXIASHADOWRATE,HOUST,SP500,EXUSUKx,TB6MS,GS1,GS5,GS10,BAA
729146,5.22316311348803,1.55894792955067,8.94057236678059,82.1216,5.6,3.29863937786428,40.8,1.80315586144157,0,27.6072564164604,2.07055266094578,5.1512951307061,7.31588350450979,25.7912709856189,-0.63341252460376,5.12,5.64,6.48,6.74,8.3
729177,8.03153129809857,1.40873369180774,8.9284714252166,82.4326,5.3,2.83881346997106,41,5.39326750540745,3.66133007147589,18.6181449785739,-0.0164189008916793,5.26490948898661,7.29097477814298,13.1215914883114,20.7280736020114,5.25,5.81,6.69,6.91,8.4
729207,-2.35548939264092,2.51677168359059,0.0095323836259098,82.3406,5.5,2.46221685823684,40.8,3.58209221214381,-0.914285758515376,-142.494852258576,2.54225221001647,5.38540561725767,7.29437729928882,-44.6747768308981,8.84124725823638,5.3,5.85,6.64,6.87,8.35
729238,3.95950046607894,4.13379878228142,6.03150131555061,82.2621,5.1,1.83836115450049,41,2.67956940517511,3.65297085747436,-56.1392689935538,1.12998213752498,5.27906133305749,7.350516171834,34.1817638649044,-2.39775773481827,5.13,5.67,6.39,6.64,8.18
729269,3.48635253579488,1.50971206509745,7.72553961340527,82.4699,5.2,2.10465996621707,41,2.67359932357536,0.911507829622593,-6.95654122119187,3.38357610757463,5.29365760174813,7.29641326877392,21.8912138640885,7.25590786540156,5.24,5.83,6.6,6.83,8.35
729299,0.246587997121139,3.56421353337488,-0.158642585163449,81.9437,5.2,2.5386300041383,41,0,6.36124170440659,-23.1453716056848,3.63446497702924,5.21158787044813,7.23849684089437,46.3547759476466,20.6007093882838,5.11,5.55,6.27,6.53,8.07
729330,3.91941777548084,2.98651185917862,10.5424686763314,82.2046,5.4,2.94008242228827,41,3.55555815678823,0.90600230804263,18.1516065961823,2.12992312592206,5.19788131996585,7.30586003268401,57.1413256430244,56.1575101524049,5.07,5.42,5.97,6.2,7.79
729360,4.74829887268626,4.7484309973111,7.56068119436222,82.4533,5.4,1.80418366603234,41.2,6.19698905788155,3.61718435150777,62.4023607875724,1.37999162860787,5.22491331019614,7.22256601882217,12.3009759146857,1.15447065605743,5.04,5.47,6.07,6.3,7.89
729391,7.00815322169461,5.67342552735361,2.16736033689067,82.116,5.3,2.17726631443611,40.6,4.40690910271613,0.902595003064732,41.0935095284767,1.55667283058918,5.22578309638506,7.2115567333138,36.5242474714535,-3.90079804122534,5.1,5.61,6.33,6.58,8.09
729422,3.86362679698991,2.51897249592723,14.0878676883649,82.787,5.2,3.08100137157439,41,2.63639798465078,-2.7098242603099,22.7365649713356,2.52529433542819,5.27440919204632,7.3038432252777,49.3534381171553,-24.0439212035333,5.06,5.53,6.2,6.42,7.94
729450,5.75535451666269,3.21803254200859,7.4580762672305,83.0975,5.2,3.1026221293537,41.3,2.6306185178651,-0.904636303680206,22.3137704814416,1.26065711218679,5.491629838658,7.2841348061952,-9.40056990672211,-11.8695329744912,5.26,5.8,6.54,6.69,8.18
729481,1.00204829009769,-0.0722206340597609,1.00385169472865,82.5449,5.1,2.90818724598125,41.3,0.87559288817296,-7.26174682002636,-7.09536435253639,1.17864720700318,5.45833177098214,7.30787278076371,-43.5446756170659,14.5977285641871,5.37,5.99,6.76,6.89,8.34
729511,5.52532446460035,0.758099962039083,6.65237849780844,82.635,4.9,2.54868740430538,41.2,4.36840671716912,-2.7345245407048,4.43951671735761,-0.564960362325095,5.35430551180994,7.27378631784489,103.998621138788,2.13398799147995,5.3,5.87,6.57,6.71,8.2
729542,4.34168661642218,5.90398238956134,5.59138694378767,82.6473,5,2.62145523227773,41,1.74291969637768,-1.82648437088204,19.3410780252822,1.54897025756178,5.32470041499037,7.30921236569276,60.6664881981413,9.30095285156396,5.13,5.69,6.38,6.49,8.02
729572,5.34219647452048,11.1523969679205,9.99573729177889,82.7415,4.9,2.89844605689069,41.1,0.870511463637946,-3.66133007147589,-41.7047517360519,0.709277041686107,5.34740114227826,7.27031288607902,65.292138613416,17.7416260062285,5.12,5.54,6.12,6.22,7.75
729603,7.06195449918425,7.27167463097729,11.9272560653915,83.1904,4.8,-0.175464249470281,41.1,6.07596234785603,4.57491976158728,6.30395446001515,0.966520845871699,5.40115431563394,7.23705902612474,2.52627581117579,-48.3306483401121,5.19,5.56,6.16,6.3,7.82
729634,3.62143940184012,0.24752475335319,11.1036139645023,83.3769,4.9,4.78681344003391,41.2,1.7303535802812,1.82509540884759,-10.8271411195656,2.89490048456749,5.52925471321592,7.34342622914737,12.5906339931802,-1.64752896573421,5.09,5.52,6.11,6.21,7.7
729664,6.31264406774292,6.11881859150216,10.4477449460255,83.5276,4.7,3.33557104477933,41.1,8.61453807240711,2.73244899846219,-43.3726565572972,1.55713877573298,5.37910041576989,7.32646561384032,17.9731987438647,23.5236175704409,5.09,5.46,5.93,6.03,7.57
729695,8.52616943297448,4.91473056303136,9.52667341670086,83.7316,4.6,2.95933484389508,41,2.57234825190178,-2.73244899846219,-20.8536053599854,0.048126733738485,5.45887869129273,7.31986492980897,-15.5424165444121,40.3903385440926,5.17,5.46,5.8,5.88,7.42
729725,7.24699302461858,6.81214621054274,5.40984376045017,83.5645,4.7,3.02913531481508,41.3,4.27503124032356,-1.82509540884759,-34.9256665015353,-0.256698220135121,5.4233050386952,7.35627987655075,29.6024562529173,-20.9286795566431,5.24,5.53,5.77,5.81,7.32
729756,10.6765426408913,-1.0629416004555,5.37702833467719,83.5819,4.6,2.53127086451101,41.1,0,-6.40978250440156,-38.0031759406918,0.593531322882512,5.35993614930382,7.32974968904151,1.23381793362398,-17.9928705543832,5.03,5.24,5.42,5.54,7.19
729787,8.19971548530916,7.76735481944115,1.98728731483229,83.1026,4.6,1.95974874240505,41.1,5.11001481909279,-0.918484545414344,-20.4958013993643,-0.609576785025467,5.40832580782691,7.36770857237437,72.9488320723991,4.24934811218054,5.07,5.31,5.49,5.57,7.25
